hazard_rate,var0,varx,cp_reset_threshold,voltage,rmse,best_run_length
0.02,0.5,0.0001,3,0.97803421,0.027135876400000036,59
0.02,0.5,0.0001,5,0.97803421,0.027135876400000036,59
0.02,0.5,0.0001,10,0.97803421,0.027135876400000036,59
0.02,1.0,0.0001,3,0.97803421,0.027135876400000036,59
0.02,1.0,0.0001,5,0.97803421,0.027135876400000036,59
0.02,1.0,0.0001,10,0.97803421,0.027135876400000036,59
0.02,2.0,0.0001,3,0.97803421,0.027135876400000036,59
0.02,2.0,0.0001,5,0.97803421,0.027135876400000036,59
0.02,2.0,0.0001,10,0.97803421,0.027135876400000036,59
0.01,0.5,0.0001,3,0.97803421,0.027135876400000036,59
0.01,0.5,0.0001,5,0.97803421,0.027135876400000036,59
0.01,0.5,0.0001,10,0.97803421,0.027135876400000036,59
0.01,1.0,0.0001,3,0.97803421,0.027135876400000036,59
0.01,1.0,0.0001,5,0.97803421,0.027135876400000036,59
0.01,1.0,0.0001,10,0.97803421,0.027135876400000036,59
0.01,2.0,0.0001,3,0.97803421,0.027135876400000036,59
0.01,2.0,0.0001,5,0.97803421,0.027135876400000036,59
0.01,2.0,0.0001,10,0.97803421,0.027135876400000036,59
0.005,0.5,0.0001,3,0.97803421,0.027135876400000036,59
0.005,0.5,0.0001,5,0.97803421,0.027135876400000036,59
0.005,0.5,0.0001,10,0.97803421,0.027135876400000036,59
0.005,1.0,0.0001,3,0.97803421,0.027135876400000036,59
0.005,1.0,0.0001,5,0.97803421,0.027135876400000036,59
0.005,1.0,0.0001,10,0.97803421,0.027135876400000036,59
0.005,2.0,0.0001,3,0.97803421,0.027135876400000036,59
0.005,2.0,0.0001,5,0.97803421,0.027135876400000036,59
0.005,2.0,0.0001,10,0.97803421,0.027135876400000036,59
0.02,0.5,1e-05,3,0.9524662,0.0021430274000000527,57
0.02,0.5,1e-05,5,0.9524662,0.0021430274000000527,57
0.02,0.5,1e-05,10,0.9524662,0.0021430274000000527,57
0.02,1.0,1e-05,3,0.9524662,0.0021430274000000527,57
0.02,1.0,1e-05,5,0.9524662,0.0021430274000000527,57
0.02,1.0,1e-05,10,0.9524662,0.0021430274000000527,57
0.02,2.0,1e-05,3,0.9524662,0.0021430274000000527,57
0.02,2.0,1e-05,5,0.9524662,0.0021430274000000527,57
0.02,2.0,1e-05,10,0.9524662,0.0021430274000000527,57
0.01,0.5,1e-05,3,0.9524662,0.0021430274000000527,57
0.01,0.5,1e-05,5,0.9524662,0.0021430274000000527,57
0.01,0.5,1e-05,10,0.9524662,0.0021430274000000527,57
0.01,1.0,1e-05,3,0.9524662,0.0021430274000000527,57
0.01,1.0,1e-05,5,0.9524662,0.0021430274000000527,57
0.01,1.0,1e-05,10,0.9524662,0.0021430274000000527,57
0.01,2.0,1e-05,3,0.9524662,0.0021430274000000527,57
0.01,2.0,1e-05,5,0.9524662,0.0021430274000000527,57
0.01,2.0,1e-05,10,0.9524662,0.0021430274000000527,57
0.005,0.5,1e-05,3,0.9524662,0.0021430274000000527,57
0.005,0.5,1e-05,5,0.9524662,0.0021430274000000527,57
0.005,0.5,1e-05,10,0.9524662,0.0021430274000000527,57
0.005,1.0,1e-05,3,0.9524662,0.0021430274000000527,57
0.005,1.0,1e-05,5,0.9524662,0.0021430274000000527,57
0.005,1.0,1e-05,10,0.9524662,0.0021430274000000527,57
0.005,2.0,1e-05,3,0.9524662,0.0021430274000000527,57
0.005,2.0,1e-05,5,0.9524662,0.0021430274000000527,57
0.005,2.0,1e-05,10,0.9524662,0.0021430274000000527,57
0.005,0.5,1e-06,3,0.95079555,0.025497452600000026,42
0.005,0.5,1e-06,5,0.95079555,0.025497452600000026,42
0.005,0.5,1e-06,10,0.95079555,0.025497452600000026,42
0.005,1.0,1e-06,3,0.95079555,0.025497452600000026,42
0.005,1.0,1e-06,5,0.95079555,0.025497452600000026,42
0.005,1.0,1e-06,10,0.95079555,0.025497452600000026,42
0.005,2.0,1e-06,3,0.95079555,0.025497452600000026,42
0.005,2.0,1e-06,5,0.95079555,0.025497452600000026,42
0.005,2.0,1e-06,10,0.95079555,0.025497452600000026,42
0.02,0.5,1e-06,3,0.95416917,0.04626093060000003,42
0.02,0.5,1e-06,5,0.95416917,0.04626093060000003,42
0.02,0.5,1e-06,10,0.95416917,0.04626093060000003,42
0.02,1.0,1e-06,3,0.95416917,0.04626093060000003,42
0.02,1.0,1e-06,5,0.95416917,0.04626093060000003,42
0.02,1.0,1e-06,10,0.95416917,0.04626093060000003,42
0.02,2.0,1e-06,3,0.95416917,0.04626093060000003,42
0.02,2.0,1e-06,5,0.95416917,0.04626093060000003,42
0.02,2.0,1e-06,10,0.95416917,0.04626093060000003,42
0.01,0.5,1e-06,3,0.95416917,0.04626093060000003,42
0.01,0.5,1e-06,5,0.95416917,0.04626093060000003,42
0.01,0.5,1e-06,10,0.95416917,0.04626093060000003,42
0.01,1.0,1e-06,3,0.95416917,0.04626093060000003,42
0.01,1.0,1e-06,5,0.95416917,0.04626093060000003,42
0.01,1.0,1e-06,10,0.95416917,0.04626093060000003,42
0.01,2.0,1e-06,3,0.95416917,0.04626093060000003,42
0.01,2.0,1e-06,5,0.95416917,0.04626093060000003,42
0.01,2.0,1e-06,10,0.95416917,0.04626093060000003,42
