derivative_threshold,integration_threshold,leakage_factor,iir_window,voltage,std_dev,rmse,num_snapshots
0.01,0.1,0.7,8,0.9508165336542653,0.005209122629098817,0.0007729406542652528,1
0.02,0.05,0.7,8,0.9508165336542653,0.005209122629098817,0.0007729406542652528,1
0.001,0.01,0.7,8,0.948472826336487,0.012449965280067365,0.0010712514635129455,1
0.001,0.01,0.8,8,0.948472826336487,0.012449965280067365,0.0010712514635129455,1
0.001,0.01,0.9,8,0.948472826336487,0.012449965280067365,0.0010712514635129455,1
0.001,0.01,0.95,8,0.948472826336487,0.012449965280067365,0.0010712514635129455,1
0.001,0.01,0.99,8,0.948472826336487,0.012449965280067365,0.0010712514635129455,1
0.01,0.1,0.9,8,0.9512379196551035,0.0014588631332993825,0.001341455655103574,1
0.005,0.1,0.7,8,0.9513708196982156,0.0014323998102927556,0.0013661860982155938,1
0.005,0.1,0.8,8,0.9513708196982156,0.0014323998102927556,0.0013661860982155938,1
0.005,0.1,0.9,8,0.9513708196982156,0.0014323998102927556,0.0013661860982155938,1
0.01,0.05,0.8,8,0.9513708196982156,0.0014323998102927556,0.0013661860982155938,1
0.01,0.1,0.95,8,0.9513708196982156,0.0014323998102927556,0.0013661860982155938,1
0.02,0.01,0.7,8,0.9513708196982156,0.0014323998102927556,0.0013661860982155938,1
0.001,0.1,0.7,8,0.9514593909859386,0.0014375979991162343,0.0013771643859386007,1
0.001,0.1,0.8,8,0.9514593909859386,0.0014375979991162343,0.0013771643859386007,1
0.001,0.1,0.9,8,0.9514593909859386,0.0014375979991162343,0.0013771643859386007,1
0.001,0.1,0.95,8,0.9514593909859386,0.0014375979991162343,0.0013771643859386007,1
0.005,0.1,0.95,8,0.9514593909859386,0.0014375979991162343,0.0013771643859386007,1
0.005,0.1,0.99,8,0.9514593909859386,0.0014375979991162343,0.0013771643859386007,1
0.01,0.1,0.99,8,0.9514593909859386,0.0014375979991162343,0.0013771643859386007,1
0.02,0.1,0.95,8,0.9514593909859386,0.0014375979991162343,0.0013771643859386007,1
0.01,0.05,0.9,8,0.9515797346126963,0.0014487363243809164,0.0014132260126963336,1
0.02,0.01,0.8,8,0.9515797346126963,0.0014487363243809164,0.0014132260126963336,1
0.01,0.05,0.7,8,0.9511021238915468,0.0018201162534618276,0.0014148006915467581,1
0.005,0.1,0.7,4,0.9515042971755177,0.005209122629098817,0.0014607041755175798,1
0.01,0.1,0.7,4,0.9515042971755177,0.005209122629098817,0.0014607041755175798,1
0.02,0.1,0.9,4,0.9515042971755177,0.005209122629098817,0.0014607041755175798,1
0.02,0.1,0.95,4,0.9515042971755177,0.005209122629098817,0.0014607041755175798,1
0.05,0.01,0.9,4,0.9515042971755177,0.005209122629098817,0.0014607041755175798,1
0.05,0.05,0.9,4,0.9515042971755177,0.005209122629098817,0.0014607041755175798,1
0.05,0.05,0.95,4,0.9515042971755177,0.005209122629098817,0.0014607041755175798,1
0.005,0.05,0.7,8,0.9517202015361093,0.0014692992475208511,0.0014679213361092902,1
0.01,0.01,0.8,8,0.9517202015361093,0.0014692992475208511,0.0014679213361092902,1
0.02,0.05,0.9,8,0.9517202015361093,0.0014692992475208511,0.0014679213361092902,1
0.005,0.05,0.8,8,0.9518134513440956,0.001488767309983122,0.0014902787440955745,1
0.005,0.05,0.9,8,0.9518134513440956,0.001488767309983122,0.0014902787440955745,1
0.01,0.05,0.95,8,0.9518134513440956,0.001488767309983122,0.0014902787440955745,1
0.01,0.1,0.8,8,0.9509496544474821,0.002318131200810025,0.0015242330474821708,1
0.02,0.05,0.8,8,0.9509496544474821,0.002318131200810025,0.0015242330474821708,1
0.02,0.1,0.9,8,0.9509496544474821,0.002318131200810025,0.0015242330474821708,1
0.001,0.05,0.7,4,0.9519936752281746,0.0014375979991162343,0.0019114486281746057,1
0.001,0.05,0.8,4,0.9519936752281746,0.0014375979991162343,0.0019114486281746057,1
0.001,0.05,0.9,4,0.9519936752281746,0.0014375979991162343,0.0019114486281746057,1
0.001,0.05,0.95,4,0.9519936752281746,0.0014375979991162343,0.0019114486281746057,1
0.001,0.05,0.99,4,0.9519936752281746,0.0014375979991162343,0.0019114486281746057,1
0.005,0.05,0.99,4,0.9519936752281746,0.0014375979991162343,0.0019114486281746057,1
0.01,0.05,0.99,4,0.9519936752281746,0.0014375979991162343,0.0019114486281746057,1
0.01,0.01,0.9,4,0.9521007914211309,0.0014487363243809164,0.0019342828211309504,1
0.02,0.1,0.7,4,0.9521007914211309,0.0014487363243809164,0.0019342828211309504,1
0.02,0.1,0.8,4,0.9521007914211309,0.0014487363243809164,0.0019342828211309504,1
0.05,0.01,0.7,4,0.9521007914211309,0.0014487363243809164,0.0019342828211309504,1
0.005,0.05,0.9,4,0.9518530981834215,0.0014588631332993825,0.001956634183421513,1
0.01,0.05,0.9,4,0.9518530981834215,0.0014588631332993825,0.001956634183421513,1
0.01,0.1,0.99,4,0.9518530981834215,0.0014588631332993825,0.001956634183421513,1
