voltage,current_mA
0.03633201,4.0
0.03630817,4.0
0.03632724,4.0
0.03632784,4.0
0.03633738,4.0
0.03630877,4.0
0.03632545,4.0
0.03632307,4.0
0.03632724,4.0
0.0363344,4.0
0.03635406,4.0
0.03635645,4.0
0.03632665,4.0
0.03630877,4.0
0.03630936,4.0
0.0363332,4.0
0.03634572,4.0
0.03635228,4.0
0.03636062,4.0
0.03636479,4.0
0.03635466,4.0
0.03635466,4.0
0.03636241,4.0
0.0363481,4.0
0.0363332,4.0
0.0363344,4.0
0.03632426,4.0
0.03630996,4.0
0.03633559,4.0
0.03633857,4.0
0.03634453,4.0
0.03633499,4.0
0.0363183,4.0
0.03632843,4.0
0.03630936,4.0
0.03629327,4.0
0.03630578,4.0
0.03634334,4.0
0.03635049,4.0
0.03635108,4.0
0.03636181,4.0
0.03637552,4.0
0.03635943,4.0
0.03635526,4.0
0.03635168,4.0
0.03632963,4.0
0.03631353,4.0
0.03630817,4.0
0.03630042,4.0
0.03631651,4.0
0.03633857,4.0
0.0363487,4.0
0.03636062,4.0
0.03636301,4.0
0.0363487,4.0
0.03634453,4.0
0.03634632,4.0
0.03635406,4.0
0.03635526,4.0
0.03635049,4.0
0.03635228,4.0
0.03633082,4.0
0.03630161,4.0
0.03629327,4.0
0.03628671,4.0
0.03628194,4.0
0.03627896,4.0
0.03628612,4.0
0.0362891,4.0
0.03628552,4.0
0.0362879,4.0
0.03630817,4.0
0.03630877,4.0
0.03628612,4.0
0.03629148,4.0
0.0362879,4.0
0.03627956,4.0
0.03629565,4.0
0.03628135,4.0
0.03629148,4.0
0.03630996,4.0
0.03630757,4.0
0.03630757,4.0
0.03632009,4.0
0.03631771,4.0
0.03632069,4.0
0.03631651,4.0
0.03631473,4.0
0.03631711,4.0
0.03631592,4.0
0.03631055,4.0
0.03631175,4.0
0.03629804,4.0
0.03631115,4.0
0.0363028,4.0
0.03631175,4.0
0.03632843,4.0
0.03633201,4.0
0.03629625,4.0
0.03629863,4.0
0.03630996,4.0
0.03631592,4.0
0.0363183,4.0
0.03630221,4.0
0.03630519,4.0
0.03630698,4.0
0.03629804,4.0
0.03629684,4.0
0.036304,4.0
0.03630459,4.0
0.036304,4.0
0.03633261,4.0
0.03632486,4.0
0.03632247,4.0
0.03629208,4.0
0.03630042,4.0
0.03630161,4.0
0.03629625,4.0
0.0362891,4.0
0.03629684,4.0
0.03630161,4.0
0.03631115,4.0
0.03629684,4.0
0.03628969,4.0
0.036304,4.0
0.03628373,4.0
0.03630161,4.0
0.03631413,4.0
0.03629923,4.0
0.03628612,4.0
0.03632307,4.0
0.03629804,4.0
0.03630877,4.0
0.03629267,4.0
0.03629565,4.0
0.03627896,4.0
0.03628969,4.0
0.03628731,4.0
0.03628015,4.0
0.03629446,4.0
0.036304,4.0
0.03627241,4.0
0.03628194,4.0
0.03628075,4.0
0.03627479,4.0
0.03627062,4.0
0.03625274,4.0
0.0362581,4.0
0.03627777,4.0
0.03625691,4.0
0.03626406,4.0
0.03626168,4.0
0.03628492,4.0
0.03627777,4.0
0.0362885,4.0
0.03626883,4.0
0.0362879,4.0
0.03627241,4.0
0.03627539,4.0
0.03628433,4.0
0.03627062,4.0
0.03627598,4.0
0.03627062,4.0
0.03627241,4.0
0.03628373,4.0
0.03626764,4.0
0.0362885,4.0
0.03626764,4.0
0.03629804,4.0
0.0363183,4.0
0.03629267,4.0
0.03629982,4.0
0.03631234,4.0
0.03629148,4.0
0.03626347,4.0
0.03628433,4.0
0.03627717,4.0
0.03626168,4.0
0.03626585,4.0
0.03627539,4.0
0.03625989,4.0
0.03625929,4.0
0.03628254,4.0
0.03628552,4.0
0.03627777,4.0
0.03627181,4.0
0.03629982,4.0
0.03626525,4.0
0.03628492,4.0
0.03626704,4.0
0.0362891,4.0
0.03630459,4.0
0.03630102,4.0
0.03628194,4.0
0.03627956,4.0
0.03628135,4.0
0.03628135,4.0
0.03628612,4.0
0.03626823,4.0
0.03626704,4.0
0.03625751,4.0
0.03626347,4.0
0.03626883,4.0
0.03628731,4.0
0.03629744,4.0
0.03630698,4.0
0.03627002,4.0
0.03628015,4.0
0.03631115,4.0
0.03627241,4.0
0.03629923,4.0
0.03629327,4.0
0.03626287,4.0
0.03629029,4.0
0.0363028,4.0
0.03628254,4.0
0.03629386,4.0
0.03630638,4.0
0.03632009,4.0
0.03632784,4.0
0.03634572,4.0
0.03635824,4.0
0.03638923,4.0
0.03637612,4.0
0.03637075,4.0
0.03634751,4.0
0.03633141,4.0
0.0363028,4.0
0.03632545,4.0
0.03631473,4.0
0.03629148,4.0
0.03628492,4.0
0.03627837,4.0
0.03628075,4.0
0.03629506,4.0
0.03631115,4.0
0.03630042,4.0
0.03630877,4.0
0.03627837,4.0
