voltage,current_mA
0.02314747,4.0
0.02315462,4.0
0.02314568,4.0
0.02315462,4.0
0.02314806,4.0
0.02315819,4.0
0.02315045,4.0
0.023157,4.0
0.02315462,4.0
0.02316296,4.0
0.02315819,4.0
0.02316296,4.0
0.02317071,4.0
0.02317071,4.0
0.02317429,4.0
0.02317786,4.0
0.02317548,4.0
0.02318144,4.0
0.02318323,4.0
0.02319098,4.0
0.02318859,4.0
0.02319515,4.0
0.02319575,4.0
0.02320051,4.0
0.02319932,4.0
0.02320588,4.0
0.02319873,4.0
0.02320707,4.0
0.02320707,4.0
0.02320528,4.0
0.02320707,4.0
0.02320945,4.0
0.02321542,4.0
0.0232184,4.0
0.02322197,4.0
0.02323091,4.0
0.02322734,4.0
0.02323389,4.0
0.02323568,4.0
0.02322912,4.0
0.02322436,4.0
0.02322912,4.0
0.02322316,4.0
0.02322495,4.0
0.02322197,4.0
0.02321959,4.0
0.02322197,4.0
0.02322555,4.0
0.02322436,4.0
0.02322614,4.0
0.02322078,4.0
0.02322793,4.0
0.02322138,4.0
0.02322376,4.0
0.02322197,4.0
0.02322316,4.0
0.02322674,4.0
0.02323389,4.0
0.02323032,4.0
0.02323032,4.0
0.0232333,4.0
0.02323032,4.0
0.02322793,4.0
0.02323151,4.0
0.02322972,4.0
0.0232327,4.0
0.02323687,4.0
0.02323449,4.0
0.02323032,4.0
0.0232333,4.0
0.02323091,4.0
0.02323389,4.0
0.0232327,4.0
0.02323508,4.0
0.02322972,4.0
0.0232333,4.0
0.02322912,4.0
0.02323449,4.0
0.02323389,4.0
0.02324105,4.0
0.02323747,4.0
0.02324224,4.0
0.02323628,4.0
0.02324283,4.0
0.02323508,4.0
0.02325058,4.0
0.02324403,4.0
0.02325118,4.0
0.02324283,4.0
0.02324522,4.0
0.02324045,4.0
0.02324701,4.0
0.02324105,4.0
0.02324045,4.0
0.02323807,4.0
0.02323866,4.0
0.02323508,4.0
0.02324283,4.0
0.02323568,4.0
0.02324939,4.0
0.02323687,4.0
0.02324045,4.0
0.02323747,4.0
0.02324045,4.0
0.02324283,4.0
0.02324045,4.0
0.02323866,4.0
0.02323747,4.0
0.02323687,4.0
0.02323628,4.0
0.02324045,4.0
0.02324283,4.0
0.02323628,4.0
0.02323747,4.0
0.02323628,4.0
0.02324045,4.0
0.0232327,4.0
0.02324164,4.0
0.02323747,4.0
0.02323866,4.0
0.02323747,4.0
0.02324045,4.0
0.02323568,4.0
0.0232333,4.0
0.02323568,4.0
0.02323508,4.0
0.02323508,4.0
0.02323747,4.0
0.02323628,4.0
0.02323747,4.0
0.02323866,4.0
0.02324522,4.0
0.02324403,4.0
0.02324164,4.0
0.02323807,4.0
0.02324164,4.0
0.02324283,4.0
0.02324283,4.0
0.02323687,4.0
0.02323807,4.0
0.02323807,4.0
0.02324224,4.0
0.02324105,4.0
0.02324403,4.0
0.02323807,4.0
0.02324403,4.0
0.02323985,4.0
0.02324641,4.0
0.02323985,4.0
0.02323985,4.0
0.02323807,4.0
0.02324879,4.0
0.02324581,4.0
0.02324164,4.0
0.02324343,4.0
0.02323807,4.0
0.02323985,4.0
0.02324522,4.0
0.02324343,4.0
0.02324164,4.0
0.02324105,4.0
0.02324224,4.0
0.02324224,4.0
0.02324581,4.0
0.02324581,4.0
0.02324879,4.0
0.02324522,4.0
0.02324522,4.0
0.02324105,4.0
0.02324343,4.0
0.02324403,4.0
0.02324283,4.0
0.02324522,4.0
0.02324105,4.0
0.02324343,4.0
0.02324462,4.0
0.02324164,4.0
0.02324343,4.0
0.02324343,4.0
0.02324522,4.0
0.02324045,4.0
0.02324164,4.0
0.02324224,4.0
0.02324581,4.0
0.02324164,4.0
0.02324581,4.0
0.02324164,4.0
0.02324164,4.0
0.02324164,4.0
0.02324045,4.0
0.0232631,4.0
0.02324522,4.0
0.02324283,4.0
0.02324641,4.0
0.02324224,4.0
0.02324462,4.0
0.02324283,4.0
0.02324522,4.0
0.02324164,4.0
0.02324522,4.0
0.02324164,4.0
0.02324522,4.0
0.02323926,4.0
0.02324462,4.0
0.02324105,4.0
0.02324343,4.0
0.02324164,4.0
0.02324701,4.0
0.02324462,4.0
0.02324641,4.0
0.02324403,4.0
0.02324581,4.0
0.02324641,4.0
0.02324939,4.0
0.02324641,4.0
0.02324879,4.0
0.02324522,4.0
0.02325177,4.0
0.02324641,4.0
0.02324999,4.0
0.0232482,4.0
0.02324939,4.0
0.02324879,4.0
0.0232476,4.0
0.02324581,4.0
0.02324939,4.0
0.02324879,4.0
0.0232476,4.0
0.02324343,4.0
0.02324581,4.0
0.0232482,4.0
0.02325058,4.0
0.02325058,4.0
0.02325237,4.0
0.02324522,4.0
0.02324879,4.0
0.02324641,4.0
0.02324462,4.0
0.0232482,4.0
0.02324939,4.0
0.0232482,4.0
0.0232482,4.0
0.0232476,4.0
0.0232482,4.0
0.02325118,4.0
0.02324939,4.0
0.02325058,4.0
0.02324939,4.0
0.02324879,4.0
0.02324939,4.0
0.02325058,4.0
0.02325297,4.0
0.02325237,4.0
0.02325058,4.0
0.02325297,4.0
0.02325237,4.0
0.02325356,4.0
0.02324999,4.0
0.02325058,4.0
0.02325237,4.0
0.02325118,4.0
0.02325297,4.0
0.02325237,4.0
0.02325118,4.0
0.02325177,4.0
0.02325356,4.0
0.02324999,4.0
0.02325177,4.0
0.02325535,4.0
0.02325952,4.0
0.02325952,4.0
0.02325654,4.0
0.02326131,4.0
0.02325833,4.0
0.02325952,4.0
0.02325595,4.0
0.02325654,4.0
0.02326012,4.0
0.02325773,4.0
0.02325595,4.0
0.02325535,4.0
0.02325773,4.0
0.02326071,4.0
0.02325952,4.0
0.02325714,4.0
0.02325952,4.0
0.02325833,4.0
0.02325654,4.0
0.02326131,4.0
0.02325773,4.0
0.02325416,4.0
0.02326012,4.0
0.02326071,4.0
0.02326191,4.0
0.02325893,4.0
0.02325952,4.0
0.02325952,4.0
0.02325654,4.0
0.02326548,4.0
0.02325595,4.0
0.02325714,4.0
0.02325952,4.0
0.02325833,4.0
0.02325773,4.0
0.02326191,4.0
0.02325773,4.0
0.02325714,4.0
0.02325654,4.0
0.02325773,4.0
0.02325833,4.0
0.02325833,4.0
0.02325654,4.0
0.02325833,4.0
0.02325773,4.0
0.02325773,4.0
0.02326071,4.0
0.02325773,4.0
0.02325595,4.0
0.02325714,4.0
0.02325535,4.0
0.0232625,4.0
0.02325952,4.0
0.02325893,4.0
0.02325654,4.0
0.02325773,4.0
0.02325535,4.0
0.02325595,4.0
0.02325475,4.0
0.02325952,4.0
0.02325595,4.0
0.02325773,4.0
0.02326131,4.0
0.0232631,4.0
0.02326071,4.0
0.02326012,4.0
0.02326131,4.0
0.02326548,4.0
0.02326071,4.0
0.02326489,4.0
0.0232631,4.0
0.02326548,4.0
0.02326489,4.0
0.02326071,4.0
0.02326906,4.0
0.02326548,4.0
0.02326191,4.0
0.02326131,4.0
0.02326489,4.0
0.02326429,4.0
0.02326429,4.0
0.0232631,4.0
0.02325893,4.0
0.02325833,4.0
0.02325654,4.0
0.02325833,4.0
0.02325535,4.0
0.02326071,4.0
0.02325952,4.0
0.02326012,4.0
0.02325773,4.0
0.02325773,4.0
0.02325595,4.0
0.02326131,4.0
0.02325833,4.0
0.02325952,4.0
0.02326071,4.0
0.02325654,4.0
0.02325833,4.0
0.02325654,4.0
0.02325475,4.0
0.02325475,4.0
0.02325416,4.0
0.02325654,4.0
0.02325475,4.0
0.02325535,4.0
0.02325177,4.0
0.02325595,4.0
0.02325356,4.0
0.02325714,4.0
0.02325654,4.0
0.02325654,4.0
0.02325595,4.0
0.02325356,4.0
0.02325833,4.0
0.02325475,4.0
0.02325356,4.0
0.02325714,4.0
0.02325475,4.0
0.02325773,4.0
0.02325654,4.0
0.02325893,4.0
0.02325595,4.0
0.02325773,4.0
0.02325773,4.0
0.02325475,4.0
0.02325773,4.0
0.02326429,4.0
0.0232631,4.0
