voltage,current_mA
0.01876116,4.0
0.01876116,4.0
0.01876235,4.0
0.01876176,4.0
0.01876056,4.0
0.01876116,4.0
0.01876056,4.0
0.01876116,4.0
0.01876235,4.0
0.01876235,4.0
0.01876176,4.0
0.01876235,4.0
0.01876056,4.0
0.01876116,4.0
0.01876235,4.0
0.01876235,4.0
0.01876235,4.0
0.01876235,4.0
0.01876116,4.0
0.01876176,4.0
0.01876235,4.0
0.01876295,4.0
0.01876176,4.0
0.01876295,4.0
0.01876235,4.0
0.01876176,4.0
0.01876295,4.0
0.01876414,4.0
0.01876235,4.0
0.01876235,4.0
0.01876056,4.0
0.01876056,4.0
0.01876295,4.0
0.01876056,4.0
0.01876116,4.0
0.01876235,4.0
0.01876235,4.0
0.01876235,4.0
0.01876235,4.0
0.01876235,4.0
0.01876295,4.0
0.01876176,4.0
0.01876235,4.0
0.01876116,4.0
0.01876116,4.0
0.01876235,4.0
0.01876116,4.0
0.01876176,4.0
0.01876176,4.0
0.01876354,4.0
0.01876235,4.0
0.01876235,4.0
0.01876176,4.0
0.01876176,4.0
0.01876354,4.0
0.01876235,4.0
0.01876235,4.0
0.01876295,4.0
0.01876354,4.0
0.01876354,4.0
0.01876235,4.0
0.01876235,4.0
0.01876354,4.0
0.01876235,4.0
0.01876235,4.0
0.01876474,4.0
0.01876235,4.0
0.01876295,4.0
0.01876235,4.0
0.01876474,4.0
0.01876235,4.0
0.01876354,4.0
0.01876354,4.0
0.01876176,4.0
0.01876295,4.0
0.01876176,4.0
0.01876235,4.0
0.01876295,4.0
0.01876295,4.0
0.01876235,4.0
0.01876295,4.0
0.01876235,4.0
0.01876354,4.0
0.01876295,4.0
0.01876235,4.0
0.01876295,4.0
0.01876235,4.0
0.01876295,4.0
0.01876235,4.0
0.01876354,4.0
0.01876176,4.0
0.01876414,4.0
0.01876354,4.0
0.01876295,4.0
0.01876295,4.0
0.01876354,4.0
0.01876354,4.0
0.01876414,4.0
0.01876414,4.0
0.01876533,4.0
0.01876474,4.0
0.01876414,4.0
0.01876295,4.0
0.01876474,4.0
0.01876354,4.0
0.01876354,4.0
0.01876295,4.0
0.01876354,4.0
0.01876295,4.0
0.01876354,4.0
0.01876414,4.0
