voltage,current_mA
0.08238435,20.0
0.08238435,20.0
0.08238376,20.0
0.08238495,20.0
0.08238435,20.0
0.08238435,20.0
0.08238316,20.0
0.08238554,20.0
0.08238495,20.0
0.08238376,20.0
0.08238435,20.0
0.08238376,20.0
0.08238495,20.0
0.08238495,20.0
0.08238435,20.0
0.08238554,20.0
0.08238554,20.0
0.08238554,20.0
0.08238316,20.0
0.08238615,20.0
0.08238554,20.0
0.08238554,20.0
0.08238615,20.0
0.08238554,20.0
0.08238435,20.0
0.08238376,20.0
0.08238435,20.0
0.08238376,20.0
0.08238495,20.0
0.08238495,20.0
0.08238495,20.0
0.08238495,20.0
0.08238376,20.0
0.08238435,20.0
0.08238554,20.0
0.08238554,20.0
0.08238495,20.0
0.08238554,20.0
0.08238435,20.0
0.08238376,20.0
0.08238495,20.0
0.08238435,20.0
0.08238495,20.0
0.08238376,20.0
0.08238376,20.0
0.08238435,20.0
0.08238376,20.0
0.08238435,20.0
0.08238435,20.0
0.08238376,20.0
0.08238495,20.0
0.08238495,20.0
0.08238495,20.0
0.08238376,20.0
0.08238495,20.0
0.08238435,20.0
0.08238376,20.0
0.08238435,20.0
0.08238495,20.0
0.08238554,20.0
0.08238376,20.0
0.08238435,20.0
0.08238435,20.0
0.08238376,20.0
0.08238435,20.0
0.08238316,20.0
0.08238435,20.0
0.08238495,20.0
0.08238435,20.0
0.08238376,20.0
0.08238376,20.0
0.08238376,20.0
0.08238435,20.0
0.08238495,20.0
0.08238495,20.0
0.08238615,20.0
0.08238495,20.0
0.08238554,20.0
0.08238316,20.0
0.08238435,20.0
0.08238316,20.0
0.08238554,20.0
0.08238376,20.0
0.08238615,20.0
0.08238495,20.0
0.08238435,20.0
0.08238316,20.0
0.08238435,20.0
0.08238495,20.0
0.08238554,20.0
0.08238376,20.0
0.08238435,20.0
0.08238376,20.0
0.08238376,20.0
0.08238376,20.0
0.08238376,20.0
0.08238435,20.0
0.08238376,20.0
0.08238554,20.0
0.08238435,20.0
0.08238435,20.0
