voltage,current_mA
0.08235693,20.0
0.08235754,20.0
0.08235693,20.0
0.08235693,20.0
0.08235515,20.0
0.08235693,20.0
0.08235574,20.0
0.08235693,20.0
0.08235574,20.0
0.08235574,20.0
0.08235693,20.0
0.08235693,20.0
0.08235693,20.0
0.08235754,20.0
0.08235754,20.0
0.08235693,20.0
0.08235634,20.0
0.08235634,20.0
0.08235693,20.0
0.08235754,20.0
0.08235813,20.0
0.08235634,20.0
0.08235634,20.0
0.08235813,20.0
0.08235693,20.0
0.08235693,20.0
0.08235754,20.0
0.08235693,20.0
0.08235693,20.0
0.08235634,20.0
0.08235693,20.0
0.08235634,20.0
0.08235754,20.0
0.08235515,20.0
0.08235693,20.0
0.08235634,20.0
0.08235693,20.0
0.08235574,20.0
0.08235634,20.0
0.08235515,20.0
0.08235634,20.0
0.08235634,20.0
0.08235754,20.0
0.08235754,20.0
0.08235634,20.0
0.08235634,20.0
0.08235574,20.0
0.08235634,20.0
0.08235754,20.0
0.08235693,20.0
0.08235574,20.0
0.08235754,20.0
0.08235693,20.0
0.08235634,20.0
0.08235634,20.0
0.08235813,20.0
0.08235693,20.0
0.08235634,20.0
0.08235693,20.0
0.08235754,20.0
0.08235754,20.0
0.08235693,20.0
0.08235574,20.0
0.08235634,20.0
0.08235574,20.0
0.08235634,20.0
0.08235873,20.0
0.08235634,20.0
0.08235754,20.0
0.08235754,20.0
0.08235515,20.0
0.08235754,20.0
0.08235754,20.0
0.08235813,20.0
0.08235693,20.0
0.08235634,20.0
0.08235693,20.0
0.08235634,20.0
0.08235813,20.0
0.08235754,20.0
0.08235754,20.0
0.08235693,20.0
0.08235634,20.0
0.08235693,20.0
0.08235693,20.0
0.08235634,20.0
0.08235693,20.0
0.08235754,20.0
0.08235813,20.0
0.08235754,20.0
0.08235754,20.0
0.08235634,20.0
0.08235574,20.0
0.08235754,20.0
0.08235754,20.0
0.08235634,20.0
0.08235754,20.0
0.08235634,20.0
0.08235693,20.0
0.08235693,20.0
0.08235693,20.0
0.08235634,20.0
0.08235754,20.0
0.08235634,20.0
0.08235813,20.0
0.08235634,20.0
0.08235693,20.0
0.08235634,20.0
0.08235693,20.0
0.08235754,20.0
0.08235754,20.0
0.08235754,20.0
0.08235754,20.0
0.08235754,20.0
0.08235693,20.0
0.08235693,20.0
0.08235574,20.0
0.08235574,20.0
0.08235693,20.0
0.08235634,20.0
0.08235634,20.0
0.08235574,20.0
0.08235634,20.0
0.08235634,20.0
0.08235574,20.0
0.08235634,20.0
0.08235754,20.0
0.08235574,20.0
0.08235515,20.0
0.08235693,20.0
0.08235455,20.0
0.08235515,20.0
0.08235515,20.0
0.08235693,20.0
0.08235634,20.0
0.08235574,20.0
0.08235396,20.0
0.08235634,20.0
0.08235574,20.0
0.08235515,20.0
0.08235455,20.0
0.08235515,20.0
0.08235515,20.0
0.08235634,20.0
0.08235515,20.0
0.08235574,20.0
0.08235515,20.0
0.08235396,20.0
0.08235574,20.0
0.08235515,20.0
0.08235634,20.0
0.08235455,20.0
0.08235455,20.0
0.08235455,20.0
