voltage,current_mA
0.0147754,4.0
0.0147754,4.0
0.0147754,4.0
0.01477599,4.0
0.01477718,4.0
0.01477897,4.0
0.01477897,4.0
0.01477957,4.0
0.01478016,4.0
0.01477957,4.0
0.01478136,4.0
0.01478016,4.0
0.01477957,4.0
0.01478076,4.0
0.01477957,4.0
0.01478076,4.0
0.01478016,4.0
0.01478136,4.0
0.01478195,4.0
0.01478195,4.0
0.01478136,4.0
0.01478314,4.0
0.01478195,4.0
0.01478195,4.0
0.01478314,4.0
0.01478195,4.0
0.01478195,4.0
0.01478374,4.0
0.01478255,4.0
0.01478255,4.0
0.01478314,4.0
0.01478374,4.0
0.01478374,4.0
0.01478314,4.0
0.01478434,4.0
0.01478314,4.0
0.01478374,4.0
0.01478374,4.0
0.01478314,4.0
0.01478314,4.0
0.01478314,4.0
0.01478314,4.0
0.01478314,4.0
0.01478314,4.0
0.01478314,4.0
0.01478255,4.0
0.01478434,4.0
0.01478374,4.0
0.01478434,4.0
0.01478434,4.0
0.01478434,4.0
0.01478612,4.0
0.01478493,4.0
0.01478553,4.0
0.01478255,4.0
0.01478255,4.0
0.01478314,4.0
0.01478314,4.0
0.01478136,4.0
0.01478255,4.0
0.01478314,4.0
0.01478553,4.0
0.01478553,4.0
0.01478553,4.0
0.01478434,4.0
0.01478553,4.0
0.01478553,4.0
0.01478493,4.0
0.01478434,4.0
0.01478493,4.0
0.01478434,4.0
0.01478612,4.0
0.01478553,4.0
0.01478434,4.0
0.01478612,4.0
0.01478493,4.0
0.01478612,4.0
0.01478612,4.0
0.01478612,4.0
0.01478553,4.0
0.01478732,4.0
0.01478553,4.0
0.01478732,4.0
0.01478612,4.0
0.01478553,4.0
0.01478732,4.0
0.01478493,4.0
0.01478493,4.0
0.01478672,4.0
0.01478672,4.0
0.01478672,4.0
0.01478553,4.0
0.01478672,4.0
0.01478493,4.0
0.01478672,4.0
0.01478612,4.0
0.01478672,4.0
0.01478612,4.0
0.01478612,4.0
0.01478553,4.0
0.01478791,4.0
0.01478672,4.0
0.01478612,4.0
0.01478732,4.0
0.01478791,4.0
0.01478672,4.0
0.01478732,4.0
0.01478732,4.0
0.01478672,4.0
0.01478612,4.0
0.01478732,4.0
0.01478732,4.0
0.01478672,4.0
0.01478732,4.0
0.01478732,4.0
0.01478732,4.0
0.01478672,4.0
0.01478732,4.0
0.01478851,4.0
0.01478672,4.0
0.01478911,4.0
0.01478732,4.0
0.01478791,4.0
0.01478851,4.0
0.01478732,4.0
0.01478732,4.0
0.01478732,4.0
0.01478791,4.0
0.01478791,4.0
0.01478911,4.0
0.01478732,4.0
0.01478791,4.0
0.01478791,4.0
0.01478791,4.0
0.01478672,4.0
0.01478732,4.0
0.01478851,4.0
0.01478851,4.0
0.01478791,4.0
0.01478791,4.0
0.01478851,4.0
0.01478911,4.0
0.01478791,4.0
0.01478791,4.0
0.01478851,4.0
0.01478732,4.0
0.01478791,4.0
0.01478851,4.0
0.01478911,4.0
0.01478911,4.0
0.01478791,4.0
0.01478911,4.0
0.01478791,4.0
0.01478791,4.0
0.01478911,4.0
0.01478851,4.0
0.01478732,4.0
0.01478851,4.0
0.01478791,4.0
0.01478791,4.0
0.01478791,4.0
0.01478791,4.0
0.01478911,4.0
0.01478791,4.0
0.01478672,4.0
0.01478791,4.0
0.01478791,4.0
0.01478672,4.0
0.01478791,4.0
0.01478911,4.0
0.01478732,4.0
0.01478911,4.0
0.0147897,4.0
0.01478911,4.0
0.01478851,4.0
0.01478851,4.0
0.01478851,4.0
0.01478851,4.0
0.01478791,4.0
0.0147897,4.0
0.01478732,4.0
0.01478791,4.0
0.01478791,4.0
0.01478911,4.0
0.01478791,4.0
0.0147897,4.0
0.01478911,4.0
0.01478911,4.0
0.01478851,4.0
0.0147897,4.0
0.0147897,4.0
0.0147897,4.0
0.01478911,4.0
0.01478851,4.0
0.01478911,4.0
0.0147897,4.0
0.0147903,4.0
0.0147897,4.0
0.01478911,4.0
0.01478851,4.0
0.01478791,4.0
0.01478911,4.0
0.0147897,4.0
0.01478911,4.0
0.01479089,4.0
0.0147903,4.0
0.01478911,4.0
0.01479089,4.0
0.0147903,4.0
0.01479089,4.0
0.0147897,4.0
0.0147903,4.0
0.01479089,4.0
0.01479089,4.0
0.01479149,4.0
0.01479149,4.0
0.01479089,4.0
0.01479089,4.0
