voltage,current_mA
0.00020981,4.0
0.00020862,4.0
0.0002104,4.0
0.00020862,4.0
0.0002104,4.0
0.00020623,4.0
0.00020981,4.0
0.0002104,4.0
0.0002104,4.0
0.00020981,4.0
0.0002104,4.0
0.00020921,4.0
0.000211,4.0
0.0002104,4.0
0.00020862,4.0
0.00020683,4.0
0.00020802,4.0
0.00020683,4.0
0.00020802,4.0
0.0002116,4.0
0.00020742,4.0
0.00020683,4.0
0.00020623,4.0
0.00020623,4.0
0.00020504,4.0
0.00020742,4.0
0.00020742,4.0
0.00020862,4.0
0.00020802,4.0
0.00020564,4.0
0.00020802,4.0
0.00020981,4.0
0.00020742,4.0
0.00020921,4.0
0.00020742,4.0
0.00020921,4.0
0.00020742,4.0
0.00020623,4.0
0.00020802,4.0
0.00020683,4.0
0.00020742,4.0
0.00020862,4.0
0.0002104,4.0
0.00020742,4.0
0.00021279,4.0
0.00020802,4.0
0.00020921,4.0
0.0002116,4.0
0.00020981,4.0
0.00020623,4.0
0.00020742,4.0
0.00020981,4.0
0.00020802,4.0
0.00020683,4.0
0.00020683,4.0
0.00020385,4.0
0.00020742,4.0
0.00020444,4.0
0.00020623,4.0
0.00020623,4.0
0.00020862,4.0
0.00020683,4.0
0.00020683,4.0
0.0002116,4.0
0.00020802,4.0
0.00020981,4.0
0.00020802,4.0
0.00020862,4.0
0.00020862,4.0
0.00020683,4.0
0.00020623,4.0
0.00020921,4.0
0.000211,4.0
0.00020921,4.0
0.00020742,4.0
0.00020981,4.0
0.0002104,4.0
0.00020802,4.0
0.00020742,4.0
0.00020802,4.0
0.00020862,4.0
0.00020802,4.0
0.00020862,4.0
0.00020802,4.0
0.00020742,4.0
0.00020802,4.0
0.00020921,4.0
0.00020683,4.0
0.0002104,4.0
0.00020504,4.0
0.00020683,4.0
0.00020683,4.0
0.00020802,4.0
0.00020802,4.0
0.00020802,4.0
0.00020802,4.0
0.00020623,4.0
0.00020802,4.0
0.00020802,4.0
0.00020862,4.0
0.00020564,4.0
0.00020802,4.0
0.00020802,4.0
0.00020802,4.0
0.00020862,4.0
0.00020921,4.0
0.00020802,4.0
0.00020742,4.0
0.00020623,4.0
0.00020742,4.0
0.00020683,4.0
0.000211,4.0
0.00020862,4.0
0.00020564,4.0
0.00020742,4.0
0.00020444,4.0
0.00020802,4.0
0.00020921,4.0
0.00020862,4.0
0.00020802,4.0
0.00020921,4.0
0.00020623,4.0
0.00020742,4.0
0.00020683,4.0
0.00020564,4.0
0.00020742,4.0
0.00020862,4.0
0.00020564,4.0
0.0002104,4.0
0.00020683,4.0
0.00020742,4.0
0.00020564,4.0
0.000211,4.0
0.00020921,4.0
0.00020504,4.0
0.0002104,4.0
0.0002104,4.0
0.00020742,4.0
0.00020981,4.0
0.00020444,4.0
0.00020802,4.0
0.000211,4.0
0.00020742,4.0
0.00020623,4.0
0.00021219,4.0
0.00020623,4.0
0.00020921,4.0
0.00020623,4.0
0.00020623,4.0
0.00020742,4.0
0.00020802,4.0
0.00020742,4.0
0.00020981,4.0
0.00020683,4.0
0.00020742,4.0
0.00020623,4.0
0.00020921,4.0
0.00020921,4.0
0.00020921,4.0
0.00020921,4.0
0.00020683,4.0
0.00020623,4.0
0.00020921,4.0
0.00020742,4.0
0.0002104,4.0
0.000211,4.0
0.00020981,4.0
0.00020802,4.0
0.00020444,4.0
0.00020862,4.0
0.0002104,4.0
0.00020742,4.0
0.00020921,4.0
0.00020981,4.0
0.00020742,4.0
0.00020683,4.0
0.00020802,4.0
0.00020683,4.0
0.00020802,4.0
0.00020683,4.0
0.00020802,4.0
0.00020802,4.0
0.00020683,4.0
0.00020802,4.0
