voltage,current_mA
0.01780093,4.0
0.02370477,4.0
0.01891732,4.0
0.01625538,4.0
0.01696229,4.0
0.02072633,4.0
0.02316594,4.0
0.02039016,4.0
0.02087891,4.0
0.02114713,4.0
0.02583265,4.0
0.02166391,4.0
0.023188,4.0
0.02405167,4.0
0.02234519,4.0
0.01520753,4.0
0.01610399,4.0
0.02337456,4.0
0.02485693,4.0
0.02033413,4.0
0.02134145,4.0
0.02357781,4.0
0.01353324,4.0
0.01468897,4.0
0.00130057,4.0
0.00644624,4.0
0.01054049,4.0
0.01329482,4.0
0.01713693,4.0
0.01131177,4.0
0.01171887,4.0
0.01738668,4.0
0.01697242,4.0
0.0135988,4.0
0.01434386,4.0
0.02137959,4.0
0.01637638,4.0
0.016644,4.0
0.0129056,4.0
0.00741839,4.0
0.01568198,4.0
0.02194762,4.0
0.02346397,4.0
0.02469361,4.0
0.01815677,4.0
0.02458513,4.0
0.02024293,4.0
0.02429307,4.0
0.02070368,4.0
0.02078355,4.0
0.02754986,4.0
0.02748251,4.0
0.02742469,4.0
0.02220571,4.0
0.02061546,4.0
0.02485812,4.0
0.03288567,4.0
0.02476812,4.0
0.0143975,4.0
0.01402021,4.0
0.02231062,4.0
0.01718581,4.0
0.02278447,4.0
0.01917422,4.0
0.02545834,4.0
0.01801431,4.0
0.02391935,4.0
0.01146972,4.0
0.00630021,4.0
0.01768172,4.0
0.02569616,4.0
0.03067017,4.0
0.021981,4.0
0.01154244,4.0
0.00506401,4.0
0.01047611,4.0
0.01423955,4.0
0.00091016,4.0
0.00325799,4.0
-0.00855386,4.0
0.0241679,4.0
0.04907668,4.0
0.04899442,4.0
0.04410684,4.0
0.04139066,4.0
0.0472188,4.0
0.04398227,4.0
0.04284203,4.0
0.04451752,4.0
0.03631592,4.0
0.0445044,4.0
0.05029619,4.0
0.04510879,4.0
0.05027831,4.0
0.05107999,4.0
0.03489614,4.0
0.03183424,4.0
0.04098177,4.0
0.03814459,4.0
0.03774285,4.0
0.03317356,4.0
0.04412591,4.0
0.04291415,4.0
0.05092382,4.0
0.04736304,4.0
0.04620314,4.0
0.05321145,4.0
0.05822003,4.0
0.04509091,4.0
0.05091608,4.0
0.05256295,4.0
0.0555253,4.0
0.0492084,4.0
0.05796313,4.0
0.06233991,4.0
0.05675435,4.0
0.04606783,4.0
0.03102661,4.0
0.03566444,4.0
0.03898025,4.0
0.0394547,4.0
0.037781,4.0
0.03932774,4.0
0.03724754,4.0
0.04332125,4.0
0.03809869,4.0
0.04035473,4.0
0.04659235,4.0
0.04933655,4.0
0.05037904,4.0
0.00994265,4.0
0.03644526,4.0
0.02847016,4.0
0.02983511,4.0
0.04161954,4.0
0.03980219,4.0
0.04653513,4.0
0.05144417,4.0
0.05339026,4.0
0.04881501,4.0
0.04809022,4.0
0.04987419,4.0
0.05083799,4.0
0.05183279,4.0
0.04572451,4.0
0.03678322,4.0
0.03975213,4.0
0.05617022,4.0
0.0534004,4.0
0.05915761,4.0
0.06362319,4.0
0.05668163,4.0
0.04318714,4.0
0.13894678,4.0
0.29468299,4.0
0.17918706,4.0
0.12703956,4.0
0.07602454,4.0
0.0548017,4.0
-0.08981408,4.0
-0.15658141,4.0
-0.15414238,4.0
-0.19544125,4.0
-0.24670722,4.0
-0.24084153,4.0
-0.19370437,4.0
-0.12784303,4.0
-0.19055785,4.0
-0.10378481,4.0
-0.20544829,4.0
-0.25322976,4.0
-0.28121652,4.0
-0.2310008,4.0
-0.20147325,4.0
-0.27434351,4.0
-0.28503837,4.0
-0.26131811,4.0
-0.2231461,4.0
-0.21397771,4.0
-0.25906028,4.0
-0.25946977,4.0
-0.27258458,4.0
-0.28696718,4.0
-0.22476913,4.0
-0.16711415,4.0
-0.16750515,4.0
0.14263034,4.0
0.10988713,4.0
0.0170517,4.0
-0.11170746,4.0
-0.00014842,4.0
-0.05550086,4.0
-0.12952805,4.0
-0.06087602,4.0
-0.03685951,4.0
0.01719356,4.0
0.16967893,4.0
0.11398555,4.0
0.08599461,4.0
0.25699021,4.0
0.69667525,4.0
0.79996232,4.0
0.7214076,4.0
0.63804693,4.0
0.74748163,4.0
0.65876369,4.0
0.64345664,4.0
0.69040184,4.0
0.74055914,4.0
0.65030879,4.0
0.70499186,4.0
0.78171615,4.0
0.73096756,4.0
0.60206241,4.0
0.60674791,4.0
0.55848484,4.0
0.59949584,4.0
0.63869481,4.0
0.61010308,4.0
0.56439285,4.0
0.49393243,4.0
0.5021996,4.0
0.49114294,4.0
0.49309916,4.0
0.60409731,4.0
0.43542151,4.0
0.19883514,4.0
0.06885828,4.0
0.16247988,4.0
0.20171883,4.0
0.14697612,4.0
-0.05816102,4.0
-0.01785994,4.0
0.14400721,4.0
0.14078141,4.0
0.07729472,4.0
0.15365124,4.0
0.15083552,4.0
0.27801694,4.0
0.27088227,4.0
0.31853678,4.0
0.32650473,4.0
0.10665537,4.0
-0.10200203,4.0
-0.16852022,4.0
-0.11205376,4.0
-0.07210196,4.0
-0.04794776,4.0
0.02013445,4.0
0.00632107,4.0
-0.01564205,4.0
0.01748741,4.0
0.06901921,4.0
0.08839012,4.0
-0.03301024,4.0
-0.08040071,4.0
-0.00727177,4.0
-0.02960802,4.0
-0.06656886,4.0
-0.05406558,4.0
-0.08705974,4.0
-0.07196069,4.0
-0.08662523,4.0
-0.09581626,4.0
-0.01288414,4.0
-0.09349168,4.0
-0.02546549,4.0
-0.06552161,4.0
-0.07343054,4.0
-0.10448397,4.0
-0.0608641,4.0
-0.07376075,4.0
-0.06601037,4.0
-0.02613485,4.0
-0.03248274,4.0
-0.03145397,4.0
-0.06002188,4.0
-0.07780791,4.0
-0.08488239,4.0
-0.03486335,4.0
-0.01592458,4.0
-0.04323781,4.0
-0.09416104,4.0
-0.06957531,4.0
-0.26757481,4.0
-0.27124049,4.0
-0.20527424,4.0
0.10760904,4.0
0.47530298,4.0
0.17997385,4.0
-0.15664042,4.0
-0.14998675,4.0
-0.06641687,4.0
-0.15669168,4.0
-0.13344765,4.0
-0.1541853,4.0
0.34066441,4.0
0.4596055,4.0
0.32502832,4.0
0.42549138,4.0
0.10294438,4.0
0.1538694,4.0
-0.15666784,4.0
0.02690017,4.0
-0.09338022,4.0
-0.23825051,4.0
-0.11681379,4.0
-0.03316879,4.0
0.20280542,4.0
0.09591282,4.0
-0.2288753,4.0
-0.17410696,4.0
-0.11799337,4.0
-0.08985222,4.0
0.2686918,4.0
0.85470743,4.0
0.61699576,4.0
0.24628462,4.0
0.25161685,4.0
0.31722071,4.0
0.15993775,4.0
-0.24875404,4.0
-0.20208003,4.0
0.16132415,4.0
