voltage,current_mA
0.05424499,4.0
0.05495489,4.0
0.05552709,4.0
0.05623579,4.0
0.05686700,4.0
0.05617917,4.0
0.05553901,4.0
0.05416214,4.0
0.05479336,4.0
0.05553424,4.0
0.05632162,4.0
0.05498409,4.0
0.05435586,4.0
0.05533218,4.0
0.05492449,4.0
0.05560517,4.0
0.05750060,4.0
0.05820990,4.0
0.06185710,4.0
0.06710589,4.0
0.06753862,4.0
0.06460667,4.0
0.06373525,4.0
0.06370902,4.0
0.06445646,4.0
0.06370544,4.0
0.06245971,4.0
0.06188035,4.0
0.06085515,4.0
0.06067932,4.0
0.06020725,4.0
0.05912364,4.0
0.06114185,4.0
0.06002665,4.0
0.05751967,4.0
0.05352616,4.0
0.05096853,4.0
0.05035341,4.0
0.05057096,4.0
0.05451381,4.0
0.05528927,4.0
0.05362928,4.0
0.05136311,4.0
0.05070508,4.0
0.04880130,4.0
0.04777431,4.0
0.04626155,4.0
0.04562795,4.0
0.04508674,4.0
0.04711747,4.0
0.04620850,4.0
0.04222274,4.0
0.03928005,4.0
0.03930628,4.0
0.04073501,4.0
0.04106939,4.0
0.04061580,4.0
0.04063904,4.0
0.04019320,4.0
0.04153371,4.0
0.04208088,4.0
0.04116178,4.0
0.04055321,4.0
0.03984749,4.0
0.04041433,4.0
0.04030645,4.0
0.04061639,4.0
0.04052937,4.0
0.04076958,4.0
0.04158795,4.0
0.04073679,4.0
0.04245162,4.0
0.04128337,4.0
0.04078865,4.0
0.04104137,4.0
0.04199803,4.0
0.04292667,4.0
0.04450619,4.0
0.05010009,4.0
0.05668581,4.0
0.05851626,4.0
0.05814671,4.0
0.05503118,4.0
0.05185723,4.0
0.04899919,4.0
0.04830480,4.0
0.04963815,4.0
0.05098283,4.0
0.05361080,4.0
0.05530894,4.0
0.05677223,4.0
0.05641580,4.0
0.05368590,4.0
0.05100727,4.0
0.05125880,4.0
0.05173624,4.0
0.05458713,4.0
0.05934000,4.0
0.05736411,4.0
0.05432010,4.0
0.05304337,4.0
0.05339384,4.0
0.05360365,4.0
0.05340517,4.0
0.05081236,4.0
0.05085766,4.0
0.05171895,4.0
0.05184114,4.0
0.05185544,4.0
0.05233407,4.0
0.05436420,4.0
0.05641162,4.0
0.05767524,4.0
0.06292582,4.0
0.06325960,4.0
0.06296098,4.0
0.06091416,4.0
0.05912960,4.0
0.06033719,4.0
0.05895317,4.0
0.05989313,4.0
0.06073773,4.0
0.05909979,4.0
0.05812705,4.0
0.05600214,4.0
0.05532980,4.0
0.05539298,4.0
0.05418539,4.0
0.05222201,4.0
0.05082309,4.0
0.05168974,4.0
0.05132079,4.0
0.05044103,4.0
0.04805207,4.0
0.04872739,4.0
0.04924774,4.0
0.05000055,4.0
0.05223751,4.0
0.05086660,4.0
0.04941285,4.0
0.04823267,4.0
0.04928827,4.0
0.05071819,4.0
0.05011439,4.0
0.04944324,4.0
0.05010664,4.0
0.05213678,4.0
0.05342126,4.0
0.05400121,4.0
0.05428970,4.0
0.05532980,4.0
0.05626678,4.0
0.05504310,4.0
0.05489647,4.0
0.05766332,4.0
0.06001592,4.0
0.06063580,4.0
0.06093383,4.0
0.06077111,4.0
0.06212831,4.0
0.06323338,4.0
0.06369770,4.0
0.06538331,4.0
0.06452560,4.0
0.06409824,4.0
0.06507218,4.0
0.06724298,4.0
0.06660819,4.0
0.06737292,4.0
0.06976545,4.0
0.07239401,4.0
0.07641971,4.0
0.08491576,4.0
0.08997083,4.0
0.09265900,4.0
0.09634376,4.0
0.10126532,4.0
0.09450555,4.0
0.10437132,4.0
0.10876179,4.0
0.10967494,4.0
0.10961116,4.0
0.10868848,4.0
0.10782600,4.0
0.10855139,4.0
0.10761262,4.0
0.10699392,4.0
0.10616422,4.0
0.10601998,4.0
0.10820926,4.0
0.11114002,4.0
0.11441053,4.0
0.11320949,4.0
0.11238397,4.0
0.11062265,4.0
0.10779024,4.0
0.10910988,4.0
0.11045635,4.0
0.11043251,4.0
0.11097968,4.0
0.11279643,4.0
0.11190594,4.0
0.11053742,4.0
0.11175514,4.0
0.11485220,4.0
0.11304916,4.0
0.10790110,4.0
0.11126459,4.0
0.11239231,4.0
0.11550785,4.0
0.11718095,4.0
0.11770368,4.0
0.11385382,4.0
0.11642457,4.0
0.11662305,4.0
0.11727870,4.0
0.12086869,4.0
0.12351871,4.0
0.12235881,4.0
0.11903823,4.0
0.11724413,4.0
0.12773752,4.0
0.12882828,4.0
0.12555420,4.0
0.12042940,4.0
0.11977316,4.0
0.12323142,4.0
