voltage,current_mA
-0.92642612,4.0
-0.92653999,4.0
-0.92661151,4.0
-0.92651615,4.0
-0.92637548,4.0
-0.92648687,4.0
-0.92680873,4.0
-0.92704601,4.0
-0.92728738,4.0
-0.92768678,4.0
-0.92756633,4.0
-0.9272439,4.0
-0.92752704,4.0
-0.92758903,4.0
-0.92734346,4.0
-0.92755737,4.0
-0.92759914,4.0
-0.92769746,4.0
-0.92767601,4.0
-0.92744655,4.0
-0.92735891,4.0
-0.92725696,4.0
-0.92733211,4.0
-0.92725458,4.0
-0.92718849,4.0
-0.92659301,4.0
-0.92637367,4.0
-0.92702875,4.0
-0.92716522,4.0
-0.92660846,4.0
-0.92634382,4.0
-0.92613525,4.0
-0.92605838,4.0
-0.92623062,4.0
-0.92640228,4.0
-0.92555294,4.0
-0.92534551,4.0
-0.92556304,4.0
-0.92584199,4.0
-0.92609291,4.0
-0.92650241,4.0
-0.92676172,4.0
-0.9262062,4.0
-0.92661027,4.0
-0.92676105,4.0
-0.92724332,4.0
-0.92702159,4.0
-0.92667999,4.0
-0.92658529,4.0
-0.92663536,4.0
-0.92646541,4.0
-0.9265829,4.0
-0.92638912,4.0
-0.92627887,4.0
-0.9258605,4.0
-0.93429632,4.0
-0.93000593,4.0
-0.92856111,4.0
-0.94058589,4.0
-0.93706493,4.0
-0.92986469,4.0
-0.92569894,4.0
-0.92536516,4.0
-0.92623119,4.0
-0.92610187,4.0
-0.92608699,4.0
-0.92844257,4.0
-0.92862911,4.0
-0.92646303,4.0
-0.92451515,4.0
-0.92465105,4.0
-0.92493476,4.0
-0.9245819,4.0
-0.9246582,4.0
-0.9245593,4.0
-0.92434473,4.0
-0.92443475,4.0
-0.92536334,4.0
-0.92470531,4.0
-0.92490081,4.0
-0.92479171,4.0
-0.92420644,4.0
-0.92379035,4.0
-0.92393169,4.0
-0.92414321,4.0
-0.92422847,4.0
-0.92394838,4.0
-0.92366228,4.0
-0.92384996,4.0
-0.92418851,4.0
-0.9243,4.0
-0.92421712,4.0
-0.92382316,4.0
-0.9239191,4.0
-0.92384939,4.0
-0.92337074,4.0
-0.92296667,4.0
-0.92298812,4.0
-0.92042627,4.0
-0.91927356,4.0
-0.91933851,4.0
-0.91904582,4.0
-0.91921339,4.0
-0.91932897,4.0
-0.91959066,4.0
-0.91966934,4.0
-0.91965742,4.0
-0.91965742,4.0
-0.91973552,4.0
-0.91985473,4.0
-0.91973667,4.0
-0.91981058,4.0
-0.91973485,4.0
-0.91983919,4.0
-0.91984872,4.0
-0.91978673,4.0
-0.91983976,4.0
-0.91980342,4.0
-0.9197236,4.0
-0.91945953,4.0
-0.91963233,4.0
-0.91949052,4.0
-0.91935043,4.0
-0.91953401,4.0
-0.91951436,4.0
-0.91937189,4.0
-0.91942558,4.0
-0.91960258,4.0
-0.91955728,4.0
-0.91933498,4.0
-0.91968955,4.0
-0.91977005,4.0
-0.91990118,4.0
-0.91996736,4.0
-0.91954956,4.0
-0.91951675,4.0
-0.91957454,4.0
-0.91937723,4.0
-0.91958465,4.0
-0.91979627,4.0
