voltage,current_mA
0.92949094,4.0
0.93107051,4.0
0.96390438,4.0
0.96005992,4.0
0.98895626,4.0
0.99448928,4.0
0.97811231,4.0
0.95463886,4.0
0.93615713,4.0
0.93733139,4.0
0.94837017,4.0
0.94756612,4.0
0.95317792,4.0
0.93493766,4.0
1.00015771,4.0
0.97060098,4.0
0.94397621,4.0
0.94860506,4.0
0.67668085,4.0
0.68157739,4.0
1.05285954,4.0
1.11504209,4.0
1.01527822,4.0
0.95194168,4.0
0.96454811,4.0
0.90301933,4.0
0.98357753,4.0
0.67012734,4.0
0.22455813,4.0
0.35156729,4.0
0.45469584,4.0
1.00818347,4.0
0.76313085,4.0
0.51661915,4.0
0.86148986,4.0
1.07883644,4.0
0.99112997,4.0
0.99116516,4.0
1.06976342,4.0
0.97193012,4.0
1.1982311,4.0
1.07308757,4.0
0.99258193,4.0
0.94958858,4.0
0.9441472,4.0
0.95254135,4.0
0.96397409,4.0
0.9529109,4.0
0.94747734,4.0
0.95628452,4.0
0.97150039,4.0
0.96101837,4.0
0.97019624,4.0
0.96250305,4.0
0.96450405,4.0
1.03328895,4.0
0.96272897,4.0
0.9825571,4.0
0.96110591,4.0
0.95543212,4.0
0.97254886,4.0
0.95975532,4.0
0.96287975,4.0
0.96780729,4.0
1.01803195,4.0
1.04437482,4.0
0.98321208,4.0
1.13801133,4.0
0.94327278,4.0
0.44506134,4.0
0.332163,4.0
0.52373533,4.0
0.51315073,4.0
0.56324963,4.0
0.44117932,4.0
0.92364015,4.0
0.63927717,4.0
0.38226129,4.0
0.46552243,4.0
-0.08061708,4.0
0.33004643,4.0
0.35685958,4.0
0.36709072,4.0
0.66556162,4.0
1.0539813,4.0
1.2741549,4.0
0.602423,4.0
0.52519326,4.0
0.67362432,4.0
1.12488043,4.0
1.02196407,4.0
0.5865169,4.0
0.59076075,4.0
0.54467325,4.0
0.63544874,4.0
0.55131621,4.0
0.54024882,4.0
0.87658891,4.0
0.94241333,4.0
0.94289131,4.0
0.94287347,4.0
0.94285917,4.0
0.94285974,4.0
0.94287643,4.0
0.94287586,4.0
0.94286928,4.0
0.94284725,4.0
0.94289197,4.0
0.9428502,4.0
0.94324893,4.0
0.94349575,4.0
0.94309282,4.0
0.55074281,4.0
-0.11589766,4.0
0.16281605,4.0
0.52056317,4.0
0.47963385,4.0
0.50115828,4.0
0.47822065,4.0
0.49622063,4.0
0.52443809,4.0
0.49762611,4.0
0.93177328,4.0
0.60503907,4.0
0.55548615,4.0
0.47681875,4.0
0.8893568,4.0
0.94272212,4.0
0.94527673,4.0
1.09702301,4.0
0.68215198,4.0
0.76579694,4.0
0.92939147,4.0
0.82013616,4.0
1.1264379,4.0
1.09363031,4.0
0.94196567,4.0
1.28251445,4.0
1.05201613,4.0
0.92871971,4.0
0.83015928,4.0
0.74409074,4.0
-0.03157794,4.0
0.15300513,4.0
1.26782727,4.0
0.98840065,4.0
0.60476784,4.0
0.64912743,4.0
0.82921752,4.0
0.71873073,4.0
0.7561738,4.0
0.94287881,4.0
0.94289789,4.0
0.94303855,4.0
0.94304275,4.0
0.94340629,4.0
0.94337949,4.0
0.94298849,4.0
0.94362268,4.0
0.94322452,4.0
0.94335269,4.0
0.9443016,4.0
0.87691192,4.0
0.94367218,4.0
0.94367637,4.0
0.94374189,4.0
0.9439022,4.0
0.94378004,4.0
0.94372224,4.0
0.94410495,4.0
0.94462766,4.0
0.94533042,4.0
1.02041435,4.0
0.94273338,4.0
0.98611545,4.0
0.95937738,4.0
0.95137844,4.0
0.94800004,4.0
0.95115137,4.0
0.95161809,4.0
0.94869689,4.0
0.98272809,4.0
0.98143587,4.0
0.96765413,4.0
0.97724332,4.0
0.9447051,4.0
0.94333477,4.0
0.943997,4.0
0.94464378,4.0
0.945263,4.0
0.94544839,4.0
0.94576129,4.0
0.94603013,4.0
0.94629535,4.0
0.98526306,4.0
0.97115764,4.0
0.94924755,4.0
0.95216646,4.0
0.95711536,4.0
0.95233516,4.0
0.95044689,4.0
0.94904613,4.0
0.94943351,4.0
0.94915103,4.0
0.94886255,4.0
0.9477909,4.0
0.94869747,4.0
0.94851093,4.0
0.94769248,4.0
0.9482439,4.0
0.94789876,4.0
0.94875411,4.0
0.94870815,4.0
0.94921722,4.0
0.94893054,4.0
0.94871768,4.0
0.94905385,4.0
0.94821939,4.0
0.94796905,4.0
0.95004749,4.0
0.94983348,4.0
0.95160732,4.0
0.95046825,4.0
0.94994554,4.0
0.95290613,4.0
0.9578432,4.0
0.95895242,4.0
0.96493492,4.0
0.956114,4.0
0.95056781,4.0
0.95297107,4.0
0.945722,4.0
0.94674777,4.0
0.94726095,4.0
0.94760608,4.0
0.94778909,4.0
0.94784269,4.0
0.9532936,4.0
0.94795894,4.0
0.9478302,4.0
0.94791545,4.0
0.9504939,4.0
0.94802274,4.0
0.9481616,4.0
0.9481842,4.0
0.94828977,4.0
0.94823312,4.0
0.94827547,4.0
0.94962129,4.0
0.95349798,4.0
1.00370717,4.0
0.94677104,4.0
0.94631681,4.0
0.94925889,4.0
0.95441646,4.0
0.94719181,4.0
0.94740943,4.0
0.9480895,4.0
0.94796133,4.0
0.9488554,4.0
0.94934062,4.0
0.94948062,4.0
0.94921483,4.0
0.94869565,4.0
0.94932155,4.0
0.94889888,4.0
1.10827934,4.0
0.96058378,4.0
0.70290989,4.0
1.19941961,4.0
0.94529819,4.0
0.94636573,4.0
0.94943418,4.0
0.9616394,4.0
0.98681278,4.0
0.94783735,4.0
0.9481533,4.0
0.58537368,4.0
0.3968239,4.0
0.44040923,4.0
0.68719153,4.0
0.69766469,4.0
0.49838666,4.0
0.60998921,4.0
0.92104921,4.0
1.11112546,4.0
1.29021239,4.0
0.75851802,4.0
1.35092151,4.0
0.6575406,4.0
0.66625003,4.0
0.88012704,4.0
0.82983798,4.0
0.86962709,4.0
0.9479166,4.0
0.9480525,4.0
0.94823789,4.0
0.95127296,4.0
0.94850492,4.0
0.94879579,4.0
0.94938106,4.0
0.94941034,4.0
0.94930248,4.0
0.9488965,4.0
0.94899845,4.0
0.94904079,4.0
0.9493143,4.0
0.948847,4.0
0.45162801,4.0
0.44691448,4.0
0.44846539,4.0
-0.11307538,4.0
0.4846466,4.0
0.53135995,4.0
0.49177951,4.0
0.5606914,4.0
0.52906517,4.0
0.52922196,4.0
0.50765223,4.0
0.43751602,4.0
0.53140287,4.0
0.51102347,4.0
0.52259211,4.0
0.44396643,4.0
0.58120794,4.0
0.9403141,4.0
0.52291278,4.0
0.57056789,4.0
0.54480977,4.0
0.52805967,4.0
0.55888361,4.0
0.50095505,4.0
0.46306195,4.0
0.68578906,4.0
1.33857142,4.0
1.14376437,4.0
1.15864288,4.0
0.98598308,4.0
1.2547357,4.0
0.48007912,4.0
0.93276748,4.0
0.53879742,4.0
0.300563,4.0
0.50128049,4.0
0.48872952,4.0
0.32720508,4.0
0.31769635,4.0
1.27259206,4.0
1.38491463,4.0
1.01833534,4.0
0.87814579,4.0
0.9655363,4.0
0.38659812,4.0
0.45189743,4.0
0.39932551,4.0
1.15265023,4.0
1.24546062,4.0
1.41099047,4.0
1.00027275,4.0
1.16850149,4.0
1.55683708,4.0
1.36589479,4.0
1.1680181,4.0
1.09850716,4.0
1.0955013,4.0
1.1943711,4.0
1.27489757,4.0
0.36808075,4.0
0.27419927,4.0
0.24053575,4.0
-0.10557354,4.0
0.01664579,4.0
0.50031967,4.0
0.98023548,4.0
0.99569149,4.0
1.03661131,4.0
0.97850933,4.0
0.94412097,4.0
0.9442646,4.0
0.98999099,4.0
0.99363994,4.0
0.94318819,4.0
0.94220943,4.0
0.94476528,4.0
0.95892505,4.0
0.97230262,4.0
1.05740022,4.0
1.09777879,4.0
0.95044918,4.0
0.62443442,4.0
0.82375535,4.0
0.98825759,4.0
0.95323276,4.0
1.12702739,4.0
1.08892512,4.0
1.10322308,4.0
1.07695174,4.0
1.08789396,4.0
1.28058981,4.0
1.21050846,4.0
1.07340824,4.0
1.04023885,4.0
1.01328206,4.0
0.99078073,4.0
0.97922811,4.0
0.95015773,4.0
0.95709276,4.0
0.70521478,4.0
0.90547628,4.0
0.98591938,4.0
0.94696531,4.0
0.947441,4.0
0.94802513,4.0
0.94762811,4.0
0.9474308,4.0
0.94773368,4.0
0.96254005,4.0
0.9469635,4.0
0.94558906,4.0
0.94610223,4.0
0.9477807,4.0
0.81021852,4.0
1.18365716,4.0
1.0721625,4.0
1.16796326,4.0
0.94590015,4.0
0.94673643,4.0
0.94702796,4.0
0.94734144,4.0
1.05994057,4.0
1.19416189,4.0
0.88997068,4.0
0.63259963,4.0
0.89844532,4.0
0.54433054,4.0
0.90129022,4.0
1.16795313,4.0
0.99327869,4.0
0.72892136,4.0
0.65972394,4.0
0.77395086,4.0
0.53933386,4.0
0.47422595,4.0
1.07121241,4.0
0.94631328,4.0
0.94627628,4.0
0.94686994,4.0
0.94725437,4.0
0.94741477,4.0
0.94748325,4.0
0.94752025,4.0
0.94804477,4.0
0.94792318,4.0
0.94794101,4.0
0.9478445,4.0
0.94809427,4.0
0.94780044,4.0
0.94669294,4.0
0.94718284,4.0
0.94767465,4.0
0.947795,4.0
0.94826173,4.0
0.94828853,4.0
0.95932378,4.0
0.94803524,4.0
0.94831657,4.0
0.94856395,4.0
0.94840421,4.0
1.00940001,4.0
1.16722297,4.0
1.00465428,4.0
0.9475274,4.0
1.03132677,4.0
0.9967638,4.0
0.97061882,4.0
1.19971704,4.0
1.14194643,4.0
1.11354601,4.0
1.07112419,4.0
0.94956884,4.0
0.94251642,4.0
1.00614798,4.0
1.06195461,4.0
1.01854693,4.0
1.13156032,4.0
1.00999844,4.0
0.56977992,4.0
0.94689617,4.0
0.94715194,4.0
0.94752683,4.0
0.94748096,4.0
0.94868736,4.0
0.94939785,4.0
0.94949674,4.0
0.94964399,4.0
0.94992647,4.0
0.94959745,4.0
0.94815263,4.0
0.94871416,4.0
0.94889717,4.0
0.94921245,4.0
0.94920291,4.0
0.99713935,4.0
0.94895372,4.0
0.95365295,4.0
0.94953966,4.0
0.94973278,4.0
0.94957485,4.0
0.94783554,4.0
0.96622123,4.0
0.96262111,4.0
0.94634246,4.0
