voltage,current_mA
-8.106e-05,4.0
-8.285e-05,4.0
-8.404e-05,4.0
-7.927e-05,4.0
-8.106e-05,4.0
-8.166e-05,4.0
-8.225e-05,4.0
-8.345e-05,4.0
-7.868e-05,4.0
-8.225e-05,4.0
-8.225e-05,4.0
-8.047e-05,4.0
-7.987e-05,4.0
-8.166e-05,4.0
-8.106e-05,4.0
-8.225e-05,4.0
-7.927e-05,4.0
-8.047e-05,4.0
-8.225e-05,4.0
-7.749e-05,4.0
-8.106e-05,4.0
-8.285e-05,4.0
-7.987e-05,4.0
-8.106e-05,4.0
-8.225e-05,4.0
-8.285e-05,4.0
-7.927e-05,4.0
-7.927e-05,4.0
-7.868e-05,4.0
-8.047e-05,4.0
-8.166e-05,4.0
-7.927e-05,4.0
-7.808e-05,4.0
-7.987e-05,4.0
-8.225e-05,4.0
-7.987e-05,4.0
-7.927e-05,4.0
-8.166e-05,4.0
-7.927e-05,4.0
-7.868e-05,4.0
-8.047e-05,4.0
-8.166e-05,4.0
-7.868e-05,4.0
-7.987e-05,4.0
-8.225e-05,4.0
-7.868e-05,4.0
-7.808e-05,4.0
-7.987e-05,4.0
-8.106e-05,4.0
-8.047e-05,4.0
-7.927e-05,4.0
-7.987e-05,4.0
-8.225e-05,4.0
-8.047e-05,4.0
-8.166e-05,4.0
-8.047e-05,4.0
-7.987e-05,4.0
-8.047e-05,4.0
-7.868e-05,4.0
-8.166e-05,4.0
-7.51e-05,4.0
-7.749e-05,4.0
-7.987e-05,4.0
-7.927e-05,4.0
-8.047e-05,4.0
-7.57e-05,4.0
-7.749e-05,4.0
-7.689e-05,4.0
-7.868e-05,4.0
-7.629e-05,4.0
-7.868e-05,4.0
-7.927e-05,4.0
-7.749e-05,4.0
-7.987e-05,4.0
-8.106e-05,4.0
-8.047e-05,4.0
-7.808e-05,4.0
-7.987e-05,4.0
-8.166e-05,4.0
-7.808e-05,4.0
-8.225e-05,4.0
-8.166e-05,4.0
-7.868e-05,4.0
-7.987e-05,4.0
-8.225e-05,4.0
-7.987e-05,4.0
-8.047e-05,4.0
-8.047e-05,4.0
-7.808e-05,4.0
-8.285e-05,4.0
-7.868e-05,4.0
-7.868e-05,4.0
-8.166e-05,4.0
-8.047e-05,4.0
-7.808e-05,4.0
-7.927e-05,4.0
-8.106e-05,4.0
-8.225e-05,4.0
-8.047e-05,4.0
-8.106e-05,4.0
-7.987e-05,4.0
-8.225e-05,4.0
-8.225e-05,4.0
-7.808e-05,4.0
-8.166e-05,4.0
-8.225e-05,4.0
-8.345e-05,4.0
-8.225e-05,4.0
-8.047e-05,4.0
-8.047e-05,4.0
-7.868e-05,4.0
-8.225e-05,4.0
-8.225e-05,4.0
-8.166e-05,4.0
-8.047e-05,4.0
-7.927e-05,4.0
-7.927e-05,4.0
-8.166e-05,4.0
-8.345e-05,4.0
-8.225e-05,4.0
-7.987e-05,4.0
-8.047e-05,4.0
-7.749e-05,4.0
-8.166e-05,4.0
-8.225e-05,4.0
-7.927e-05,4.0
-8.225e-05,4.0
-7.987e-05,4.0
-8.047e-05,4.0
-8.106e-05,4.0
-8.166e-05,4.0
-7.868e-05,4.0
-7.749e-05,4.0
-7.927e-05,4.0
-7.927e-05,4.0
-7.987e-05,4.0
-8.047e-05,4.0
-7.868e-05,4.0
-8.285e-05,4.0
-8.225e-05,4.0
-8.225e-05,4.0
-8.285e-05,4.0
-8.047e-05,4.0
-8.166e-05,4.0
-7.987e-05,4.0
-8.047e-05,4.0
-8.225e-05,4.0
-8.345e-05,4.0
-7.808e-05,4.0
-8.106e-05,4.0
-8.225e-05,4.0
-8.285e-05,4.0
-7.987e-05,4.0
-8.166e-05,4.0
-7.987e-05,4.0
-8.106e-05,4.0
-8.047e-05,4.0
-7.987e-05,4.0
-8.106e-05,4.0
-7.987e-05,4.0
-8.047e-05,4.0
-8.166e-05,4.0
-8.345e-05,4.0
-8.106e-05,4.0
-7.987e-05,4.0
-8.225e-05,4.0
-7.868e-05,4.0
-8.225e-05,4.0
-8.047e-05,4.0
